  Number  Name                   Base kV    Type    Load MW    Load Mvar     Gen. MW    Set. kV    Mvar fixed    Mvar var.
    1633  TAM-G1                 13.8000      -2     0.0000       0.0000      0.0000     1.0000        0.0000       0.0000
    1634  TAM-G2                 13.8000      -2     0.0000       0.0000      0.0000     1.0000        0.0000       0.0000
    1635  CON-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0300        0.0000       0.0000
    1636  LUN-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0250        0.0000       0.0000
    1637  MAG-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0150        0.0000       0.0000
    1638  MTI-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0280        0.0000       0.0000
    1639  PNT-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0280        0.0000       0.0000
    1640  SAA-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0235        0.0000       0.0000
    1641  TDL-B1                 13.8000      -2     0.0230       0.0000      0.0000     1.0350        0.0000       0.0000
    1642  GEN-B1                 13.8000      -2     0.0000       0.0000      0.0000     1.0350        0.0000       0.0000
    1643  GEN-B2                 13.8000      -2     0.0000       0.0000      0.0000     1.0350        0.0000       0.0000
    1644  ZUN-G                  13.2000       2     0.0000       0.0000      0.0000     1.0250        0.0000       0.0000
    1645  SEC-H                   6.6000       2     0.0000       0.0000     12.9290     1.0350        0.0000       0.0000
    1646  PAS-H1                  4.2000      -2     0.0000       0.0000      4.8420     1.0020        0.0000       0.0000
    1647  PAS-H2                  4.2000      -2     0.0000       0.0000      4.8420     1.0020        0.0000       0.0000
    1651  SJO-C                  13.8000       2     0.0000       0.0000    100.4580     1.0250        0.0000       0.0000
    1652  PVE-H1                  4.2000       2     0.0000       0.0000      3.3420     1.0100        0.0000       0.0000
    1653  PVE-H2                  4.2000       2     0.0000       0.0000      3.3420     1.0100        0.0000       0.0000
    1654  TUL-B12                12.0000      -2     0.0000       0.0000      0.0000     1.0250        0.0000       0.0000
    1655  TUL-B3                  0.5000      -2     0.0000       0.0000      0.0000     1.0100        0.0000       0.0000
    1656  REN-H1                  6.9000       2     0.0000       0.0000     18.4230     1.0200        0.0000       0.0000
    1657  REN-H2                  6.9000       2     0.0000       0.0000     18.4230     1.0200        0.0000       0.0000
    1658  REN-H3                  6.9000       2     0.0000       0.0000     18.4230     1.0200        0.0000       0.0000
    1659  ARI-O1                 13.8000       2     0.0000       0.0000      0.0000     1.0150        0.0000       0.0000
    1660  ARI-O2                 13.8000      -2     0.0000       0.0000      0.0000     1.0150        0.0000       0.0000
    1661  ARI-O3                 13.8000      -2     0.0000       0.0000      0.0000     1.0150        0.0000       0.0000
    1662  LVA-H1                 13.8000       2     0.0000       0.0000     15.4180     1.0100        0.0000       0.0000
    1663  LVA-H2                 13.8000      -2     0.0000       0.0000      0.0000     1.0100        0.0000       0.0000
    1664  MTZ-H                   4.2000       2     0.0000       0.0000      8.7700     1.0200        0.0000       0.0000
    1665  SIS-H                   4.2000       2     0.0000       0.0000      1.5760     1.0250        0.0000       0.0000
    1666  CAN-H1                 13.8000       2     0.0000       0.0000     19.4900     1.0250        0.0000       0.0000
    1667  CGP-69                 69.0000      -2    26.1700       8.0040      0.0000     1.0000        0.0000       0.0000
    1668  ELG-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0350        0.0000       0.0000
    1669  TDL-B2                 13.8000      -2     0.0000       0.0000      0.0000     1.0250        0.0000       0.0000
    1670  CAN-H2                 13.8000       2     0.0000       0.0000     19.4900     1.0250        0.0000       0.0000
    1671  PAL-H                   6.3000       2     0.0000       0.0000      0.0000     1.0150        0.0000       0.0000
    1672  PNT-B2                 13.8000      -2     0.0000       0.0000      0.0000     1.0250        0.0000       0.0000
    1673  MAG-B2                 13.8000      -2     0.0000       0.0000      0.0000     1.0350        0.0000       0.0000
    1674  REC-H                  13.8000       2     0.0000       0.0000     10.7000     1.0220        0.0000       0.0000
    1676  MTO-H                  13.8000       2     0.0000       0.0000      4.7860     1.0200        0.0000       0.0000
    1686  GEC-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0300        0.0000       0.0000
    1687  PVE-13                 13.8000       2     0.0000       0.0000      3.3420     1.0100        0.0000       0.0000
    1688  MAG-B3                 13.8000      -2     0.0000       0.0000      0.0000     1.0350        0.0000       0.0000
    1689  TND-B                  13.8000      -2     0.0000       0.0000      0.0000     1.0250        0.0000       0.0000
    1690  CND-H                   6.6000       2     0.0000       0.0000      3.5210     1.0250        0.0000       0.0000
    1691  ORT-G                  12.5000       2     0.0000       0.0000      0.0000     1.0300        0.0000       0.0000
    1692  GEC-B2                 13.8000      -2     0.0000       0.0000      0.0000     1.0300        0.0000       0.0000
    1693  PVI-H1                 13.8000       2     0.0000       0.0000     37.6760     1.0350        0.0000       0.0000
    1694  PVI-H2                 13.8000       2     0.0000       0.0000     37.6760     1.0350        0.0000       0.0000
    1699  MAG-B4                 13.8000      -2     0.0000       0.0000      0.0000     1.0150        0.0000       0.0000
    1704  OXE-692                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1709  QSD-69                 69.0000       1     5.0040       0.4100      0.0000   nan             0.0000       0.0000
