  From number    To number  From name         To name              Last bus number  Last bus name       ID    Service                 R (pu)    X (pu)    Tap ratio (pu)
        51200        51210  PAP230A_230.00    PAP34.5B_34.500                51230  PAPT1T_13.800       1     All in-service          0.0000    0.3850                 1
        51250        51262  NCO230A_230.00    NCO24.9A_24.900                51280  NCOT1T_13.800       1     All in-service          0.0000    0.3847                 1
        51250        51264  NCO230A_230.00    NCO24.9B_24.900                51281  NCOT2T_13.800       2     All in-service          0.0000    0.3820                 1
        51250        51265  NCO230A_230.00    NCO69_69.000                   51282  NCOT3T_13.800       1     All in-service          0.0064    0.2380                 1
        51300        51308  BIN230A_230.00    BIN34.5A_34.500                51330  BINT1T_13.800       1     All in-service          0.0000    0.2460                 1
        51302        51310  BIN230B_230.00    BIN34.5B_34.500                51331  BINT2T_13.800       2     All in-service          0.0000    0.3700                 1
        51450        51458  JAC230A_230.00    JAC34.5A_34.500                51480  JACT1T_13.800       1     All in-service          0.0000    0.3780                 1
        51450        51460  JAC230A_230.00    JAC34.5B_34.500                51482  JACT2T_13.800       2     All in-service          0.0000    0.3780                 1
        53000        53008  CAJ230A_230.00    CAJ34.5A_34.500                53034  CAJT3TA_13.800      1     All in-service          0.0000    0.3587                 1
        53002        53010  CAJ230B_230.00    CAJ34.5B_34.500                53036  CAJT3TB_13.800      3     All in-service          0.0000    0.3627                 1
        53002        53012  CAJ230B_230.00    CAJ34.5C_34.500                53038  CAJT3TC_13.800      4     All in-service          0.0000    0.3737                 1
        53004        53000  CAJ138A_138.00    CAJ230A_230.00                 53030  CAJAT1T_13.800      1     All in-service          0.0000    0.0636                 1
        53004        53000  CAJ138A_138.00    CAJ230A_230.00                 53031  CAJAT2T_13.800      2     All in-service          0.0018    0.0670                 1
        53006        53002  CAJ138B_138.00    CAJ230B_230.00                 53032  CAJAT3T_13.800      3     All in-service          0.0014    0.0680                 1
        53006        53002  CAJ138B_138.00    CAJ230B_230.00                 53033  CAJAT4T_13.800      4     All in-service          0.0000    0.0656                 1
        53050        53058  LIN230A_230.00    LIN34.5A_34.500                53080  LINT1T_13.800       1     All in-service          0.0000    0.3570                 1
        53052        53060  LIN230B_230.00    LIN34.5B_34.500                53081  LINT2T_13.800       2     All in-service          0.0000    0.3700                 1
        53100        53110  BEL230A_230.00    BEL34.5E_34.500                53134  BELT5T_13.800       5     All in-service          0.0000    0.3833                 1
        53100        53111  BEL230A_230.00    FLB34.5_34.500                 53135  BELT6T_13.800       6     All in-service          0.0000    0.5100                 1
        53100        53112  BEL230A_230.00    INT34.5A_34.500                53130  BELT1T_13.800       1     All out-of-service      0.0000    0.3867                 1
        53102        53108  BEL230B_230.00    BEL34.5D_34.500                53133  BELT4T_13.800       4     All in-service          0.0000    0.3620                 1
        53102        53109  BEL230B_230.00    BEL34.5C_34.500                53132  BELT3T_13.800       3     All in-service          0.0000    0.3573                 1
        53102        53113  BEL230B_230.00    INT34.5B_34.500                53131  BELT2T_13.800       2     All in-service          0.0000    0.3867                 1
        53150        53160  SMI230A_230.00    SMI34.5B_34.500                53184  SMIT2T_13.800       2     All in-service          0.0000    0.3630                 1
        53152        53158  SMI230B_230.00    SMI34.5A_34.500                53183  SMIT1T_13.800       1     All in-service          0.0000    0.3630                 1
