  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         1778         1983  LCU-341_34.500      LCU-E_0.7000        1                1    0.0000    0.2936            1.0000           35.3000
         1795        16012  HRU-138_138.00      HRU-F_20.000        1                1    0.0000    0.1667            1.0000           60.0000
         1795        16015  HRU-138_138.00      HRU-F2_20.000       1                1    0.0000    0.2837            1.0000           35.0000
         1823        16019  PVI-230_230.00      PVI-H3_13.800       1                1    0.0000    0.2500            1.0000           64.0000
         1832         1912  XAC-230_230.00      XAC-H1_13.800       1                1    0.0000    0.2500            1.0000           64.0000
         1832         1913  XAC-230_230.00      XAC-H2_13.800       1                1    0.0000    0.2500            1.0000           64.0000
         1836         1923  PNA-691_69.000      PNA-H1_4.1600       1                1    0.0000    0.8823            1.0000            8.5000
         1837         1923  PNA-131_13.800      PNA-H1_4.1600       1                1    0.0000    4.4750            1.0000            1.2000
         1838         1924  PNA-132_13.800      PNA-H2_0.4800       1                1    0.0000    4.7750            1.0000            1.2000
         1846        16026  FLO-69_69.000       FLO-H_4.1600        1                1    0.0000    1.4200            1.0000            5.0000
         1857        16009  MNL-69_69.000       MNL-H4_6.6000       1                1    0.0000    1.0000            1.0000            8.0000
         1857        16010  MNL-69_69.000       MNL-H5_6.6000       1                1    0.0000    1.0075            1.0000            8.0000
         1857        16011  MNL-69_69.000       MNL-H6_6.6000       1                1    0.0000    1.0025            1.0000            8.0000
         1860         1973  EPI-691_69.000      EPI-B3_13.800       1                1    0.0000    0.3636            1.0000           22.0000
         1861        16016  HLB-69_69.000       HLB-H_6.9000        1                1    0.0000    0.6483            1.0000           12.0000
         1863        16017  ISI-69_69.000       ISI-V_13.800        1                1    0.0000    0.1364            1.0000           82.1000
         1864        16002  XAD-230_230.00      XAD-H1_13.800       1                1    0.0000    0.3280            1.0000           40.0000
         1864        16003  XAD-230_230.00      XAD-H2_13.800       1                1    0.0000    0.3277            1.0000           40.0000
         1865        16029  REC-692_69.000      REC-H2_13.800       1                1    0.0000    0.3323            1.0000           30.0000
         1867         1871  SMR-230_230.00      SMR-691_69.000      1                0    0.0000    0.0800            1.0000          150.0000
         1870        16024  LFU-69_69.000       LFU-H_6.6000        1                1    0.0000    1.1390            1.0000           15.8000
         1901        12250  TDL-B3_13.800       TDL-692_69.000      1                1    0.0000    0.1220            1.0000           35.0000
         1902        12254  LLI-C_13.800        LLI-69_69.000       1                1    0.0000    0.3196            1.0000           30.0000
         1908         1909  JEN-230_230.00      JEN-C1_13.800       1                1    0.0000    0.0724            1.0000          180.0000
         1908         1910  JEN-230_230.00      JEN-C2_13.800       1                1    0.0000    0.0724            1.0000          180.0000
         1966        12241  TND-B2_13.800       TND-69_69.000       1                1    0.0000    0.4040            1.0000           29.0000
         1968         1973  EPI-B2_4.1600       EPI-B3_13.800       1                1    0.0000    0.5417            1.0000           12.0000
         1972        12285  GGO-B_11.400        GGO-69_69.000       1                1    0.0000    0.4105            1.0000           25.0000
         1979        12241  TND-B4_13.800       TND-69_69.000       1                1    0.0000    0.1200            1.0000           50.0000
         3001         3032  CJN_U01_13.800      CJN_B601_230.00     1                1    0.0000    0.1200            1.0000          100.0000
         3002         3032  CJN_U02_13.800      CJN_B601_230.00     1                1    0.0000    0.1200            1.0000          100.0000
         3003         3032  CJN_U03_13.800      CJN_B601_230.00     1                1    0.0000    0.1200            1.0000          100.0000
         3004         3032  CJN_U04_13.800      CJN_B601_230.00     1                1    0.0000    0.1200            1.0000          100.0000
         3005         3029  CRL_U01_13.800      CRL_B501_138.00     1                1    0.0000    0.1478            1.0000           20.0000
