  From Number    To Number  From Name         To Name             ID      Resistance_ohm    Reactance_ohm    Susceptance_uS    Base kV
         1449        14005  MTZ-69_69.000     CAF-691_69.000      1               1.6790           5.8195           43.0582    69.0000
         1483         1484  MTZ-13_13.800     SIS-13_13.800       1               0.0991           0.3605          147.0279    13.8000
         1490         1492  TEC-691_69.000    IAT-69_69.000       1               0.0886           0.3071            2.3104    69.0000
         1490         1714  TEC-691_69.000    TFM-692_69.000      1               1.7630           6.1103           45.1586    69.0000
         1491         1492  TEC-692_69.000    IAT-69_69.000       1               0.0886           0.3071            2.3104    69.0000
         1493         1497  RGR-138_138.00    CQM-138_138.00      1               3.5593          12.3672           91.4199   138.0000
         1495         1767  PET-69_69.000     LLB-691_69.000      1               6.7309          21.1168          192.8166    69.0000
         1497         1498  CQM-138_138.00    ZCA-138_138.00      1               2.8128           9.7715           72.2537   138.0000
         1498         1499  ZCA-138_138.00    PAN-138_138.00      1               1.5083           5.2390           38.7524   138.0000
         1704         1721  OXE-692_69.000    PNZ-69_69.000       1               2.0432           7.8846           62.8019    69.0000
         1710         1732  PAN-230_230.00    MOR-230_230.00      1               6.2321          35.9852          438.8847   230.0000
         1710         1771  PAN-230_230.00    SAS-230_230.00      1               4.4965          29.0580          207.4291   230.0000
         1710         1771  PAN-230_230.00    SAS-230_230.00      2               4.4965          29.0580          207.4291   230.0000
         1710         3190  PAN-230_230.00    F-LEC-PAN_230.00    1               5.5016          35.4959          253.3081   230.0000
         1713         1715  TFM-691_69.000    TFM-69_69.000       1               0.1266           0.4385            3.1506    69.0000
         1714         1715  TFM-692_69.000    TFM-69_69.000       2               0.1266           0.4385            3.1506    69.0000
         1718         1758  TEL-69_69.000     STS-69_69.000       1               7.0053          24.3197          179.7942    69.0000
         1718        14002  TEL-69_69.000     OXE-691_69.000      1               2.6244           8.2336           75.1943    69.0000
         1719         1767  SYX-69_69.000     LLB-691_69.000      1               2.4787           7.7763           70.9935    69.0000
         1721        14002  PNZ-69_69.000     OXE-691_69.000      1               0.0000           0.0048           18.6936    69.0000
         1730         1732  IZA-230_230.00    MOR-230_230.00      1               3.7030          29.5182          236.6730   230.0000
         1755        14020  GCS-138_138.00    GGZ-138_138.00      1               2.1354           7.4104           54.8204   138.0000
         1767         1768  LLB-691_69.000    LLB-69_69.000       1               9.2200          29.4400          275.3623    69.0000
         1777         1778  LCU-34_34.500     LCU-341_34.500      1               0.2155           0.1535          849.4014    34.5000
         1795        14024  HRU-138_138.00    PSC-138_138.00      1               2.7608           9.5776           70.7309   138.0000
         1816         1835  CAO-69_69.000     PNA-69_69.000       1               0.8408           2.9180           21.6341    69.0000
         1820         1821  ESP-138_138.00    POL-138_138.00      1               2.7176           9.4401           69.7858   138.0000
         1821         1822  POL-138_138.00    HUE-138_138.00      1               5.2428          18.7926          134.7406   138.0000
         1821         1842  POL-138_138.00    HUE-1382_138.00     1               1.9333           6.9299           49.6744   138.0000
         1822         1842  HUE-138_138.00    HUE-1382_138.00     1               3.4879          12.5026           89.6345   138.0000
         1823         1845  PVI-230_230.00    USP-230_230.00      1               0.1428           0.8623           10.1701   230.0000
         1823         1845  PVI-230_230.00    USP-230_230.00      2               0.1428           0.8623           10.1701   230.0000
         1828         1829  REC-69D_69.000    REC-691_69.000      1               0.0271           0.0838            0.8402    69.0000
         1829         1866  REC-691_69.000    REC-693_69.000      1               0.6579           2.0930           19.5337    69.0000
         1832         1840  XAC-230_230.00    COV-230_230.00      1               0.0212           0.1746            1.2287   230.0000
         1832         1864  XAC-230_230.00    XAD-230_230.00      1               0.3576           2.9820           20.3025   230.0000
         1835         1836  PNA-69_69.000     PNA-691_69.000      1               0.0938           0.3247            2.3104    69.0000
         1837         1838  PNA-131_13.800    PNA-132_13.800      1               0.0423           0.1538           63.0120    13.8000
         1840         1841  COV-230_230.00    HUE-232_230.00      1               5.5915          46.4092          317.0510   230.0000
         1840         1843  COV-230_230.00    CHN-230_230.00      1               2.7508          15.8171          193.1947   230.0000
         1840         1845  COV-230_230.00    USP-230_230.00      1               2.7508          15.8700          193.5728   230.0000
         1841         1843  HUE-232_230.00    CHN-230_230.00      1               2.7508          16.0287          195.4631   230.0000
         1841         1867  HUE-232_230.00    SMR-230_230.00      2               3.0788          15.8436          206.8242   230.0000
         1846         1892  FLO-69_69.000     SRP-69_69.000       1               1.3654           4.2828           39.0674    69.0000
         1857         1869  MNL-69_69.000     LFU-691_69.000      1               0.5728           1.9854           14.7028    69.0000
         1861         1862  HLB-69_69.000     HLB-691_69.000      1               1.2412           3.9150           39.0674    69.0000
